amenities,beds,developer,district,electoral_div,lease,name,nearest_mrt_name,neighbourhood,property_type,rental,sqft,tenure,travel_time_changi,travel_time_orchard,travel_time_raffles,furnishing,amenities_count,nearest_mrt_dist_min,nearest_mrt_dist_metres,freehold_status,rental_log
"'Pool Deck', 'Closet', 'Aircon', 'TV', 'Sofa', 'Gym', 'Parking', 'Fridge', 'Bed', 'Swimming Pool', 'Utility Room', 'Jacuzzi', 'Audio System', 'Dining Room Furniture', 'High Floor', 'Security', 'BBQ', 'Balcony''",1,Trident Development Pte Ltd,D14,Jalan Besar,less_than_24m,Centra Residence,,Geylang,Condo,2000,400,Freehold,50,26,18,Fully Furnished,18,none_nearby,none_nearby,Freehold,7.600902459542082
"'Clubhouse', 'Security', 'Renovated', 'Aircon', 'Squash Court', 'Sofa', 'Stove', 'Fridge', 'Bed', 'Swimming Pool', 'Dryer', 'Playground', 'Parking', 'Dining Room Furniture', 'Washer', 'Fibre Ready', 'Gym', 'BBQ', 'Tennis Court''",3,Hong Leong Holdings Ltd,D15,Mountbatten,Flexible,The Atria At Meyer,,Marine Parade,Condo,4700,1700,Freehold,51,36,29,Fully Furnished,19,none_nearby,none_nearby,Freehold,8.45531778769815
"'Gym', 'Wading Pool', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'Lap Pool', 'Tennis Court''",4,Marina Green Ltd (Far East Organization),D15,Mountbatten,Flexible,Silversea,,Marine Parade,Condo,15000,3584,99 Years,36,35,30,Unknown,9,none_nearby,none_nearby,Non-Freehold,9.615805480084347
"'Bomb Shelter', 'Aircon', 'Water Feature', 'TV', 'Sofa', 'Gym', 'Pool Deck', 'City View', 'Bed', 'Fridge', 'Swimming Pool', 'Dryer', 'Study Room', 'Dining Room Furniture', 'High Floor', 'Washer', 'Parking', 'Security', 'BBQ', 'Balcony''",1,Alliance Land Pte Ltd,D10,Tanjong Pagar,Flexible,Stellar Rv,,Tanglin,Condo,2400,452,Freehold,63,17,27,Fully Furnished,20,none_nearby,none_nearby,Freehold,7.783224016336037
"'Clubhouse', 'Gym', 'Pool Deck', 'Lounge', 'Swimming Pool', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'BBQ', 'Tennis Court''",2,Gem Homes Pte Ltd,D12,Bishan-Toa Payoh,Flexible,Gem Residences,,Toa Payoh,Condo,3300,678,99 Years,65,21,26,Unknown,12,none_nearby,none_nearby,Non-Freehold,8.101677747454572
"'Closet', 'Aircon', 'Sofa', 'Stove', 'Fridge', 'Bed', 'Mid Floor', 'Dining Room Furniture', 'Washer''",1,,D05,West Coast,greater_than_or_equal_24m,Bijou,Pasir Panjang MRT,Queenstown,Condo,3100,570,Freehold,70,32,25,Fully Furnished,9,5,6,Freehold,8.039157390473237
"'City View', 'Bathtub', 'Renovated', 'Aircon', 'Sofa', 'Stove', 'Parking', 'Fridge', 'Bed', 'Dryer', 'Oven', 'Dining Room Furniture', 'High Floor', 'Washer', 'Fibre Ready', 'Security', 'Closet''",3,Hong Leong Holdings Ltd,D15,Mountbatten,Flexible,Amber Glades,,Marine Parade,Condo,3750,1227,Freehold,33,32,27,Fully Furnished,17,none_nearby,none_nearby,Freehold,8.229511118964457
"'Basketball Court', 'Gym', 'Swimming Pool', 'Playground', 'Badminton Court', 'BBQ''",1,Wah Khiaw Properties Pte Ltd,D09,Tanjong Pagar,Flexible,Mackenzie Regency,Little India MRT,None,Condo,2750,600,Freehold,54,17,18,Unknown,6,3,84,Freehold,7.919356190660617
"'Jogging Track', 'Clubhouse', 'Water Feature', 'High Ceiling', 'Squash Court', 'Oven', 'Parking', 'Games Room', 'Greenery View', 'Wading Pool', 'Playground', 'Dining Room Furniture', 'BBQ', 'Gym', 'Fridge', 'Sauna', 'Dryer', 'Tennis Court', 'Waterfall', 'Aircon', 'Sofa', 'Bed', 'Viewing Deck', 'Swimming Pool', 'Jacuzzi', 'Fitness Corner', 'Security', 'Bathtub''",2,Dover Palisades Pte Ltd (Far East Organization),D05,West Coast,Flexible,Dover Parkview,,Queenstown,Condo,2999,936,99 Years,73,26,32,Fully Furnished,28,none_nearby,none_nearby,Non-Freehold,8.00603417874901
"'Jogging Track', 'Clubhouse', 'Basketball Court', 'Aerobic Pool', 'Sculpture', 'Gym', 'Spa Pavilion', 'Swimming Pool', 'Multi-purpose Hall', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Retail Shops', 'Lap Pool', 'BBQ', 'Tennis Court''",3,,D10,Tanjong Pagar,Flexible,D'leedon,,Bukit Timah,Condo,5000,1356,99 Years,70,23,34,Unknown,16,none_nearby,none_nearby,Non-Freehold,8.517193191416238
"'Jogging Track', 'Bridge', 'Function Room', 'Clubhouse', 'Timber Deck', 'Concierge', 'Jacuzzi', 'Parking', 'Pond', 'Outdoor Dining', 'Sky Terrace', 'Games Room', 'Fun Pool', 'City View', 'Balcony', 'Aerobic Pool', 'Pool Deck', 'Wading Pool', 'Hydrotherapy Pool', 'Playground', 'Washer', 'Pool View', 'BBQ', 'Hydrotherapy Pool', 'Multi-purpose Hall', 'Gym', 'Fridge', 'Waterfall', 'Steam Room', 'Spa Pavilion', 'Infinity Pool', 'Jet Pool', 'Yoga Corner', 'Pavilion', 'Aircon', 'Hammocks', 'Water Feature', 'Adventure Park', 'Open Terrace', 'Viewing Deck', 'Swimming Pool', 'Spa Pool', 'Study Room', 'Fitness Corner', 'High Floor', 'Security', 'Retail Shops', 'Reflexology Path', 'Tennis Court''",2,CEL Residential Development Pte. Ltd.,D16,East Coast,Flexible,Grandeur Park Residences,Tanah Merah MRT,Bedok,Condo,3000,581,99 Years,30,35,27,Partially Furnished,49,2,8,Non-Freehold,8.006367567650246
"'High Ceiling', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Balcony', 'Bomb Shelter', 'Closet', 'Greenery View', 'Wading Pool', 'Utility Room', 'Washer', 'Pool View', 'Gym', 'Fridge', 'Dryer', 'Tennis Court', 'Dishwasher', 'Fibre Ready', 'Aircon', 'Maid Room', 'Swimming Pool', 'Security', 'Bathtub''",3,,D10,Tanjong Pagar,Flexible,Nassim Ville,,Tanglin,Condo,7900,1551,Freehold,54,11,24,Partially Furnished,24,none_nearby,none_nearby,Freehold,8.974618038455112
"'Fun Pool', 'Clubhouse', 'Yoga Corner', 'Sky Lounge', 'Water Feature', 'Gym', 'Timber Deck', 'Library', 'Concierge', 'Wading Pool', 'Jacuzzi', 'Function Room', 'Fitness Corner', 'Parking', 'Security', 'Lap Pool', 'Games Room''",1,City Developments Ltd,D01,Jalan Besar,Flexible,One Shenton,Downtown MRT,None,Condo,3500,850,99 Years,51,25,14,Unknown,17,2,4,Non-Freehold,8.160518247477505
"'Clubhouse', 'Aircon', 'Gym', 'Fridge', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Parking', 'Washer', 'Security', 'Tennis Court', 'Balcony''",2,FEC Skyline Pte Ltd,D03,Tanjong Pagar,Flexible,Artra,Redhill MRT,Bukit Merah,Condo,4000,829,99 Years,61,25,13,Unknown,13,0,1,Non-Freehold,8.294049640102028
"'Clubhouse', 'Function Room', 'Stove', 'Spa Pavilion', 'Jacuzzi', 'Oven', 'Parking', 'Outdoor Dining', 'Balcony', 'City View', 'Closet', 'Swimming Pool', 'TV', 'Pool Deck', 'Wading Pool', 'Playground', 'Dining Room Furniture', 'Pool View', 'BBQ', 'Audio System', 'Gym', 'Fridge', 'Tennis Court', 'Underwater Fitness Station', 'Reflexology Path', 'Yoga Corner', 'Aircon', 'Sofa', 'Billiards Room', 'Bed', 'Aerobic Pool', 'Fitness Corner', 'Security', 'Lap Pool''",1,Novelty Orchard Development Pte Ltd,D09,Tanjong Pagar,Flexible,Espada,Somerset MRT,River Valley,Condo,2400,355,Freehold,57,13,15,Fully Furnished,34,5,66,Freehold,7.783224016336037
"'Gym', 'Viewing Deck', 'Swimming Pool', 'Wading Pool', 'Spa Pool', 'Steam Room', 'Tennis Court', 'Parking', 'Security', 'Lap Pool', 'BBQ', 'Playground''",1,Cove Development Pte Ltd,D09,Tanjong Pagar,Flexible,OUE Twin Peaks,,River Valley,Condo,3800,549,99 Years,59,12,19,Unknown,12,none_nearby,none_nearby,Non-Freehold,8.242756345714477
"'Gym', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Parking', 'Security''",3,Bayshore Green Pte Ltd,D15,Marine Parade,Flexible,The Sound,,Bedok,Condo,4200,1087,Freehold,34,40,33,Unknown,7,none_nearby,none_nearby,Freehold,8.34283980427146
"'Function Room', 'Retail Shops', 'Gym', 'Pool Deck', 'Rooftop Pool', 'Spa Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Viewing Deck', 'Underwater Fitness Station', 'Outdoor Dining', 'Sauna', 'Lap Pool', 'BBQ', 'Open Terrace''",3,M+S Pte Ltd (A Company Owned By Khazanah And Temasek),D07,Jalan Besar,Flexible,Duo Residences / Duo Tower,Bugis MRT,None,Condo,6000,1184,99 Years,50,20,12,Unknown,16,3,46,Non-Freehold,8.699514748210191
"'Swimming Pool', 'Gym', 'Wading Pool', 'Parking''",3,Rdc Land Pte Ltd (Sembcorp),D14,Marine Parade,Flexible,Eunos Green,Eunos MRT,Bedok,Condo,3100,1300,Freehold,38,29,21,Unknown,4,4,13,Freehold,8.039157390473237
"'Bomb Shelter', 'Renovated', 'Gym', 'Pool Deck', 'City View', 'Swimming Pool', 'Jacuzzi', 'Parking', 'Mid Floor', 'Security', 'Balcony''",1,Pinnacle Realty Pte Ltd,D14,Marine Parade,Flexible,Centra Suites,Aljunied MRT,Geylang,Condo,2200,420,Freehold,44,25,17,Fully Furnished,11,2,0,Freehold,7.696212639346407
"'Gym', 'Sauna', 'Swimming Pool', 'Wading Pool', 'Parking', 'Security', 'BBQ''",4,Allegro Investments Pte Ltd,D10,Tanjong Pagar,Flexible,Nassim Jade,,Tanglin,Condo,9500,3455,Freehold,52,9,22,Unknown,7,none_nearby,none_nearby,Freehold,9.159047077588632
"'Clubhouse', 'High Ceiling', 'Squash Court', 'Oven', 'Parking', 'Mid Floor', 'Balcony', 'Closet', 'TV', 'Greenery View', 'Wading Pool', 'Utility Room', 'Playground', 'Dining Room Furniture', 'Washer', 'Gym', 'Fridge', 'Sauna', 'Tennis Court', 'Aircon', 'Maid Room', 'Swimming Pool', 'Security''",3,City Developments Ltd,D23,Holland-Bukit Timah,Flexible,Cashew Heights Condominium,Petir LRT,Bukit Panjang,Condo,3100,1647,999 Years,79,37,44,Partially Furnished,23,5,21,Freehold,8.039157390473237
"'Clubhouse', 'Water Feature', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Mid Floor', 'Balcony', 'TV', 'Wading Pool', 'Playground', 'Dining Room Furniture', 'Washer', 'BBQ', 'Gym', 'Fridge', 'Dryer', 'Pavilion', 'Aircon', 'Maid Room', 'Sofa', 'Bed', 'Swimming Pool', 'Waterfall', 'Bathtub', 'Lap Pool''",3,Mcl Land,D09,Tanjong Pagar,Flexible,Robertson 100,,None,Condo,4300,1152,Freehold,66,26,24,Fully Furnished,26,none_nearby,none_nearby,Freehold,8.366370301681654
"'Gym', 'Sauna', 'Swimming Pool', 'Jacuzzi', 'Playground', 'Parking', 'BBQ''",2,Far East Organization,D09,Tanjong Pagar,Flexible,Cavenagh Lodge,,Newton,Condo,4000,1239,99 Years,56,18,26,Unknown,7,none_nearby,none_nearby,Non-Freehold,8.294049640102028
"'Function Room', 'Pavilion', 'Gym', 'Pool Deck', 'Swimming Pool', 'Jacuzzi', 'Tennis Court', 'Fitness Corner', 'Parking', 'Security', 'Sky Terrace', 'BBQ', 'Playground''",1,Sing Holdings (Cairnhill) Pte Ltd,D09,Tanjong Pagar,Flexible,The Laurels,Somerset MRT,Newton,Condo,3399,549,Freehold,51,14,16,Unknown,13,7,18,Freehold,8.131236549696116
"'Clubhouse', 'Function Room', 'Spa Pavilion', 'Jacuzzi', 'Parking', 'Outdoor Dining', 'Balcony', 'City View', 'Renovated', 'Swimming Pool', 'TV', 'Pool Deck', 'Wading Pool', 'Playground', 'BBQ', 'Gym', 'Fridge', 'Tennis Court', 'Underwater Fitness Station', 'Reflexology Path', 'Yoga Corner', 'Aircon', 'Sofa', 'Billiards Room', 'Bed', 'Aerobic Pool', 'Fitness Corner', 'High Floor', 'Security', 'Lap Pool''",1,Novelty Orchard Development Pte Ltd,D09,Tanjong Pagar,less_than_24m,Espada,Somerset MRT,River Valley,Condo,2400,355,Freehold,57,13,15,Unknown,30,5,66,Freehold,7.783224016336037
"'Clubhouse', 'Function Room', 'Security', 'Aircon', 'Water Feature', 'TV', 'Greenery View', 'Pool Deck', 'Fridge', 'Low Floor', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Study Room', 'Oven', 'Parking', 'Washer', 'Pool View', 'Gym', 'BBQ', 'Balcony''",2,Allgreen Properties,D09,Tanjong Pagar,greater_than_or_equal_24m,Suites At Orchard,Dhoby Ghaut MRT,None,Condo,3300,548,99 Years,47,11,11,Fully Furnished,21,2,2,Non-Freehold,8.101677747454572
"'City View', 'Loft', 'Closet', 'High Ceiling', 'Sofa', 'Stove', 'Fridge', 'Bed', 'Jacuzzi', 'Aircon', 'Dryer', 'Oven', 'Dining Room Furniture', 'TV', 'High Floor', 'Washer', 'Fibre Ready', 'Lap Pool', 'Gym', 'Balcony''",1,Far East Success,D09,Tanjong Pagar,Flexible,The Scotts Tower,Newton MRT,Newton,Condo,4500,646,103 Years,57,11,18,Fully Furnished,20,5,84,Non-Freehold,8.411832675758411
"'Penthouse', 'Bomb Shelter', 'Roof Terrace', 'Aircon', 'Sofa', 'Gym', 'Fridge', 'Bed', 'Jacuzzi', 'Swimming Pool', 'Dryer', 'Parking', 'Washer', 'Security', 'BBQ', 'Balcony''",1,Hume Homes Pte Ltd (Oxley),D05,West Coast,Flexible,Viva Vista,,Queenstown,Condo,2500,743,Freehold,78,38,33,Fully Furnished,16,none_nearby,none_nearby,Freehold,7.824046010856292
"'Clubhouse', 'Function Room', 'Gym', 'Pool Deck', 'Spa Pavilion', 'Lounge', 'Swimming Pool', 'Yoga Corner', 'Playground', 'Reflexology Path', 'BBQ', 'Hydrotherapy Pool''",2,Grand Waterfront Development Pte Ltd,D05,West Coast,Flexible,The Vision,,Clementi,Condo,3500,904,99 Years,90,46,43,Unknown,12,none_nearby,none_nearby,Non-Freehold,8.160518247477505
"'Pool Deck', 'Roof Terrace', 'Parking', 'Greenery View', 'Duplex / Maisonette', 'Gym', 'Fridge', 'Outdoor Dining', 'Wading Pool', 'Hydrotherapy Pool', 'Steam Room', 'Playground', 'Top Floor', 'High Floor', 'Security', 'Bathtub', 'Lap Pool', 'Stove''",4,Bishan Properties Pte Ltd,D05,West Coast,greater_than_or_equal_24m,Horizon Residences,Haw Par Villa MRT,Queenstown,Condo,10000,2719,Freehold,75,34,29,Partially Furnished,18,3,49,Freehold,9.210340371976184
"'Gym', 'Spa Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Parking', 'Security', 'Lap Pool', 'BBQ', 'Tennis Court''",2,"Far East Organization,Kentish Court Pte Ltd",D10,Tanjong Pagar,Flexible,Cyan,,Tanglin,Condo,4500,1012,Freehold,61,17,26,Unknown,10,none_nearby,none_nearby,Freehold,8.411832675758411
"'Gym', 'Sauna', 'Swimming Pool', 'Jacuzzi', 'Playground', 'Badminton Court', 'Parking', 'Security', 'BBQ', 'Tennis Court''",2,Dover Rise Ltd / Whitewater Properties Pte Ltd,D15,Mountbatten,Flexible,The Shore Residences,,Marine Parade,Condo,3600,925,103 Years,35,34,28,Unknown,10,none_nearby,none_nearby,Non-Freehold,8.1886891244442
"'Function Room', 'Water Feature', 'Spa Pavilion', 'Oven', 'Parking', 'Outdoor Dining', 'Sky Terrace', 'Balcony', 'Bomb Shelter', 'Renovated', 'Greenery View', 'Pool Deck', 'Lounge', 'Playground', 'Washer', 'Pool View', 'BBQ', 'City View', 'Tennis Court', 'Yoga Corner', 'Pavilion', 'Aircon', 'Open Terrace', 'Spa Pool', 'High Floor', 'Security''",4,Unique Realty Pte Ltd,D13,MacPherson,Flexible,Sky Green,Tai Seng MRT,Geylang,Condo,4999,1496,Freehold,47,32,29,Partially Furnished,26,5,98,Freehold,8.51699317141357
"'Aircon', 'Greenery View', 'Fridge', 'Dryer', 'Study Room', 'Oven', 'High Floor', 'Washer', 'Stove''",1,,D05,West Coast,Flexible,Bijou,Pasir Panjang MRT,Queenstown,Condo,3400,603,Freehold,70,32,25,Partially Furnished,9,1,6,Freehold,8.131530710604252
"'Fun Pool', 'Clubhouse', 'Tennis Court', 'Sculpture', 'Gym', 'Pool Deck', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Fountain', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'Hydrotherapy Pool', 'Lap Pool', 'BBQ', 'Games Room''",2,City Developments Ltd,D09,Tanjong Pagar,Flexible,Parc Emily,Little India MRT,None,Condo,3900,904,Freehold,53,21,18,Unknown,18,5,88,Freehold,8.268731832117737
"'Gym', 'Swimming Pool', 'Tennis Court', 'Parking', 'Security', 'BBQ''",2,,D07,Jalan Besar,Flexible,The Bencoolen,Rochor MRT,None,Condo,3600,900,99 Years,51,19,16,Unknown,6,3,54,Non-Freehold,8.1886891244442
"'Stove', 'Walk In Closet', 'Oven', 'Parking', 'Sky Terrace', 'City View', 'Renovated', 'Closet', 'TV', 'Greenery View', 'Wading Pool', 'Playground', 'Dining Room Furniture', 'Washer', 'Fibre Ready', 'Gym', 'Bomb Shelter', 'Fridge', 'Waterfall', 'Aircon', 'Sofa', 'Bed', 'Swimming Pool', 'Security''",3,Alphaland International Pte Ltd,D15,Marine Parade,greater_than_or_equal_24m,Tembeling Court,,Geylang,Condo,4000,1184,Freehold,47,35,38,Fully Furnished,24,none_nearby,none_nearby,Freehold,8.294049640102028
"'Clubhouse', 'Gym', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'Tennis Court''",3,Bodenheim Investments Pte Ltd,D19,Hougang,Flexible,Rio Vista,,Hougang,Condo,2900,1248,99 Years,54,45,44,Unknown,10,none_nearby,none_nearby,Non-Freehold,7.9724660159745655
"'Water Feature', 'Jacuzzi', 'Oven', 'Parking', 'Pond', 'Balcony', 'Fun Pool', 'Bomb Shelter', 'Pool Deck', 'Lounge', 'Playground', 'Washer', 'BBQ', 'Fridge', 'City View', 'Waterfall', 'Aircon', 'Viewing Deck', 'Fitness Corner', 'Security', 'Bathtub', 'Lap Pool''",2,Sp Holland Hill Private Limited,D10,Tanjong Pagar,Flexible,Lush On Holland Hill,,Bukit Timah,Condo,4188,1281,Freehold,68,21,29,Partially Furnished,22,none_nearby,none_nearby,Freehold,8.339978571990427
"'Security', 'Renovated', 'Aircon', 'TV', 'Sofa', 'Stove', 'Fridge', 'Bed', 'Jacuzzi', 'Parking', 'Dining Room Furniture', 'Washer', 'Pool View', 'Lap Pool', 'Gym''",1,Oxley Jv Pte Ltd,D10,Tanjong Pagar,greater_than_or_equal_24m,Loft @ Nathan,,Tanglin,Condo,2700,388,Freehold,65,19,26,Fully Furnished,15,none_nearby,none_nearby,Freehold,7.90100705199242
"'Clubhouse', 'Dishwasher', 'Aircon', 'Maid Room', 'Greenery View', 'Fridge', 'Swimming Pool', 'Jacuzzi', 'Playground', 'Oven', 'Washer', 'Bathtub', 'Gym', 'BBQ', 'Tennis Court''",3,,D04,West Coast,Flexible,Reflections At Keppel Bay,Telok Blangah MRT,Bukit Merah,Condo,4200,1012,99 Years,71,33,26,Unknown,15,6,68,Non-Freehold,8.34283980427146
"'Gym', 'Sauna', 'Swimming Pool', 'Wading Pool', 'Jacuzzi', 'Steam Room', 'Parking', 'Security''",3,Lucky Realty Co. Pte Ltd (Far East),D10,Tanjong Pagar,Flexible,Grange 70,,River Valley,Condo,6900,1970,Freehold,61,16,24,Partially Furnished,8,none_nearby,none_nearby,Freehold,8.83927669058535
"'Clubhouse', 'Gym', 'Pool Deck', 'Lounge', 'Swimming Pool', 'Jacuzzi', 'Playground', 'Fitness Corner', 'Parking', 'Security', 'BBQ', 'Tennis Court''",2,Gem Homes Pte Ltd,D12,Bishan-Toa Payoh,greater_than_or_equal_24m,Gem Residences,,Toa Payoh,Condo,3500,592,99 Years,65,21,26,Partially Furnished,12,none_nearby,none_nearby,Non-Freehold,8.160518247477505
"'City View', 'Closet', 'Aircon', 'TV', 'Sofa', 'Stove', 'Fridge', 'Bed', 'Oven', 'Parking', 'Mid Floor', 'Dining Room Furniture', 'Washer', 'Bathtub', 'Security''",1,Tuan Huat Development Pte Ltd,D09,Tanjong Pagar,less_than_24m,Riverside 48,,None,Condo,3200,850,Freehold,64,23,22,Partially Furnished,15,none_nearby,none_nearby,Freehold,8.070906088787819
"'Jogging Track', 'Clubhouse', 'Function Room', 'Water Feature', 'Walk In Closet', 'Parking', 'Sky Terrace', 'Balcony', 'Fun Pool', 'City View', 'Renovated', 'TV', 'Pool Deck', 'Playground', 'Fibre Ready', 'BBQ', 'Gym', 'Bomb Shelter', 'Fridge', 'Steam Room', 'Tennis Court', 'Karaoke', 'Dishwasher', 'Pool View', 'Aircon', 'Bed', 'Spa Pool', 'Study Room', 'Fitness Corner', 'High Floor', 'Security', 'Retail Shops', 'Lap Pool''",1,"City Developments Ltd,AIG Global Real Estate",D01,Jalan Besar,Flexible,The Sail @ Marina Bay,Downtown MRT,None,Condo,2300,250,99 Years,51,17,5,Fully Furnished,33,3,16,Non-Freehold,7.7406644019172415
"'Security', 'Closet', 'Aircon', 'Sofa', 'Stove', 'Fridge', 'Bed', 'Jacuzzi', 'Swimming Pool', 'Wading Pool', 'Dryer', 'Oven', 'Parking', 'Dining Room Furniture', 'Washer', 'Greenery View''",2,Region Development Pte Ltd,D11,Holland-Bukit Timah,less_than_24m,28 Shelford,,Bukit Timah,Condo,3100,850,Freehold,66,25,31,Fully Furnished,16,none_nearby,none_nearby,Freehold,8.039157390473237
"'Penthouse', 'Clubhouse', 'High Ceiling', 'Stove', 'Jacuzzi', 'Oven', 'Outdoor Dining', 'Balcony', 'Bomb Shelter', 'Closet', 'Duplex / Maisonette', 'Wading Pool', 'Utility Room', 'Playground', 'Top Floor', 'Washer', 'BBQ', 'Roof Terrace', 'Gym', 'City View', 'Dual Key', 'Fridge', 'Dryer', 'Steam Room', 'Tennis Court', 'Multi-purpose Hall', 'Jet Pool', 'Aircon', 'Maid Room', 'High Floor', 'Security', 'Lap Pool''",4,"IOI Group,Kim Seng Hen Realty Pte Ltd",D08,Jalan Besar,Flexible,Cityscape @ Farrer Park,,Kallang,Condo,8500,2928,Freehold,65,19,28,Partially Furnished,32,none_nearby,none_nearby,Freehold,9.047821442478408
"'Clubhouse', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Balcony', 'Renovated', 'Closet', 'TV', 'Playground', 'Dining Room Furniture', 'Washer', 'Fibre Ready', 'BBQ', 'Gym', 'Fridge', 'Aircon', 'Sofa', 'Bed', 'Fitness Corner', 'High Floor', 'Security', 'Bathtub', 'Lap Pool''",2,Prime Point Realty (Guthrie Group),D22,Pioneer,greater_than_or_equal_24m,The Centris,Boon Lay MRT,Jurong West,Condo,3199,979,99 Years,81,42,35,Fully Furnished,24,1,6,Non-Freehold,8.070593539949519
